id,data,cidade_origem,uf_origem,base_origem,nf,valor_da_nota,volumes,peso_real,peso_cubado,cidade_destino,uf_destino,base,setor,frete_peso,seguro,total_frete,vendedor,cliente,data_inclusao
137633,2024-01-01,"São Paulo",SP,SAO,1020,2593.04,64,71.44,0.0,"UNIAO DA VITORIA",PR,CWB,LPR,269.396696,7.77912,277.175816,"Agustinho Ormeneze",Hiroshima,
137634,2024-01-01,"São Paulo",SP,SAO,1020,2392.24,38,49.16,0.0,"SAO JOSE DO RIO PRETO",SP,SPO,DVT,272.7515,7.17672,279.92822,"Agustinho Ormeneze",Hiroshima,
137635,2024-01-01,"São Paulo",SP,SAO,1020,2235.68,25,44.08,0.0,BAURU,SP,SPO,DVT,174.2113,6.70704,180.91834,"Agustinho Ormeneze",Hiroshima,
137636,2024-01-01,"São Paulo",SP,SAO,1020,2401.12,39,39.18,0.0,SOROCABA,SP,SPO,DOC,173.5585,7.20336,180.76186,"Agustinho Ormeneze",Hiroshima,
137637,2024-01-01,"São Paulo",SP,SAO,1020,2957.52,48,50.03,0.0,"MONTE MOR",SP,SPO,DOC,202.0135,8.87256,210.88606,"Agustinho Ormeneze",Hiroshima,
137638,2024-01-01,"São Paulo",SP,SAO,1020,3885.68,52,71.01,0.0,JACAREI,SP,SPO,DOC,261.5187,11.65704,273.17574,"Agustinho Ormeneze",Hiroshima,
137639,2024-01-01,"São Paulo",SP,SAO,1020,2279.82,30,39.94,0.0,JAGUARAO,RS,RGS,PET,292.624096,6.83946,299.463556,"Agustinho Ormeneze",Hiroshima,
137640,2024-01-01,"São Paulo",SP,SAO,1020,3441.71,50,73.19,0.0,JOACABA,SC,CTB,401,411.82216,10.32513,422.14729,"Agustinho Ormeneze",Hiroshima,
137641,2024-01-01,"São Paulo",SP,SAO,1020,3603.72,52,41.72,0.0,SOROCABA,SP,SPO,DOC,173.0748,10.81116,183.88596,"Agustinho Ormeneze",Hiroshima,
137642,2024-01-01,"São Paulo",SP,SAO,1020,1879.53,26,39.95,0.0,"SAO PEDRO DAS MISSOES",RS,RGS,PFB,297.11632,5.63859,302.75491,"Agustinho Ormeneze",Hiroshima,
137643,2024-01-01,"São Paulo",SP,SAO,1020,2103.92,37,43.68,0.0,ITAPETININGA,SP,SPO,DVT,179.4422,6.31176,185.75396,"Agustinho Ormeneze",Hiroshima,
137644,2024-01-01,"São Paulo",SP,SAO,1020,4291.12,65,75.82,0.0,TREMEMBE,SP,SPO,DOC,277.2595,12.87336,290.13286,"Agustinho Ormeneze",Hiroshima,
137645,2024-01-01,"São Paulo",SP,SAO,1020,2199.96,37,53.91,0.0,"BOM RETIRO DO SUL",RS,RGS,LJD,371.82469,6.59988,378.42457,"Agustinho Ormeneze",Hiroshima,
